ARTISTID,ARTISTNAME,ARTISTHOTNESS
AR0B9V01187FB55276,Jeremy Fisher,0.5004502
AREV2491187B9B017E,Mobb Deep,0.5001193
AR4C6V01187FB3BAF4,Moonspell,0.4998263
ARTZ90C1187FB55D81,Jimmy Wayne,0.4990184
ARD5K161187B9AC784,Orbital,0.49866888
AR198711187B9AD09F,Simply Red,0.49856362
ARBFQ7L1187B9ACD48,The Velvet Underground,0.49849796
ARQOC971187B9910FA,The Verve Pipe,0.49839532
AR5J8XN1187B9B712E,Extreme,0.49771145
ARGIABO1187FB4B3B5,Ronnie Milsap,0.4976905
ARRWAD71187FB3FE44,Martha Wainwright,0.49756873
ARLE1JH1187B9B630B,Zbigniew Preisner,0.49754408
ARHUQUF1187FB382E6,T-Bone,0.49730492
ARHR5BC1187B9AC348,Eagles Of Death Metal,0.4971974
ARLR9U31187B9A71AD,Iggy And The Stooges,0.49705097
ARS6KFB1187FB59B12,K.I.Z.,0.49678302
ARYCCQX122BCFCC4E4,Cavo,0.49676785
ARSX6IX1187B9B640C,Big Star,0.49650812
ARN0DMU1187FB5B63A,Daryl Hall & John Oates,0.49638113
AROOKC21187B9AE85C,Missy Higgins,0.49635142
ARBQPXY1187B98D67B,Kris Kristofferson,0.49622434
ARJVTRE1187B9959C0,Foghat,0.49612334
ARGXIE31187FB55B48,Tech N9ne,0.49607134
ARKCTSM11F4C83C839,Columbia Symphony Orchestra;Igor Stravinsky,0.49576634
AR9SU0S1187FB53D0F,Easy Star All-Stars,0.49572936
ARF3FBD1187FB40B90,Little Brother,0.49552304
ARNMWP51187FB3E963,Curtis Mayfield,0.4953067
ARXRK5A1187FB3EAC6,Jaguares,0.49438122
ARJBWQI1187B9B17D1,Trivium,0.49420685
ARWI92K1187B98A5CC,Jets,0.49403766
AR557N41187FB3E67F,Swallow The Sun,0.49381444
AR26X1C1187B9B0A1B,Conway Twitty,0.49371108
ARUHYH21187B98BA89,The Tragically Hip,0.49362943
ARXWAQQ1187B9AE954,Redman,0.49356684
ARODFDS1187FB57348,Sergio Mendes,0.49278116
ARYRDLN12592CDBB85,V V Brown,0.4921879
ARVWIEH1187B9B39B5,This Is Hell,0.49213222
ARF1Q9B1187B9ADCC7,Lit,0.4918358
ARBM57Q1187B9AF97C,James Horner,0.4918287
AR82DJK1187B991107,The Pharcyde,0.49146888
ARDSWIE1187FB39056,Gang Starr,0.49117896
ARWGLPE1187FB3E54C,Crowbar,0.49109945
ARDQ62L1187FB56FF0,Blue October,0.49076867
AR0IVSA1187FB4F069,Helmet,0.49007958
AR336PG1187FB3DC6E,Oceansize,0.49003446
ARD44H211C8A422686,This Or The Apocalypse,0.4898126
ARXQZPD122988F57B8,Molesta Ewenement,0.4895687
AR8CT8U1187FB4D803,Dexy's Midnight Runners,0.48945826
AR261YW1187FB374B3,Warrant,0.4891498
ARPGTHP1187B9AC284,Temple Of The Dog,0.4889442
ARN2ZKL1187FB3972B,The Distillers,0.48853612
AR5BX3Y1187FB39E93,Slightly Stoopid,0.48833898
ARXJJSN1187B98CB37,Bebe Winans,0.48818138
ARPQ4Z01187FB3A736,Butthole Surfers,0.48801985
AR7DBMA1187FB516B1,The Knife,0.4878484
AR1SQSG1187B9AC782,Kent,0.48759565
AR6G6G01187B9B1637,Unearth,0.487407
ARF3HEO1187B9AF2F4,Donnie McClurkin,0.487203
ARR6MOS1187B994C51,Mando Diao,0.4868254
ARBHBE91187B9A1F58,Jonny Lang,0.48678303
AR0OQPL1187B9B549A,Kirk Franklin,0.4863705
AR5LE4K1187FB4C3BE,John Hiatt,0.4860724
AROKDJ41187B9A7700,Mindless Self Indulgence,0.48588145
AR5DXUU1187B9B0E42,Falco,0.4857816
ARKAL321187B9AD4BE,The Gathering,0.48568237
AR12EOE1187FB3AE26,The Pineapple Thief,0.48519826
ARCLFWR1187B9AE7B2,Fun Lovin' Criminals,0.48487672
ARDPFGP1187B98A58A,Concretes,0.48412472
ARWVVVP1187FB52F31,Mark Wills,0.4830353
ARQVZ7F1187FB57CC9,Twenty 4 Seven,0.482491
AR1VWD91187FB4CE99,The Animals_ Sonny Boy Williamson,0.4824868
AR9YS621187FB5AC07,The Clark Sisters,0.48243225
AR4IWYN1187FB47DF6,Strata,0.48229882
ARTW7I31187B9A4CA9,!!!,0.4821311
ARD8JVH1187FB4DA04,Bad Company,0.4821
ARO5T1P1187B9AC680,Lou Reed,0.48197585
ARUI8651187B9ACF52,John Cale,0.48165587
AR2FSX31187B98E3EF,Ricky Martin,0.48142692
ARJUNZD1187B9A5DAE,Herb Alpert And The Tijuana Brass,0.48136905
ARVUN5F1187FB4CCC7,Beenie Man,0.4813393
AR8H87D1187FB3A841,Glen Campbell,0.48102424
ARPTC8L119B340323E,Chuck Wicks,0.48081246
AR02IU11187FB513F2,Tito Puente,0.48072478
AR4PQ891187FB5CA9F,Dionne Warwick,0.4805752
ARE3LP51187B9ACD29,Leann Rimes & Brian McFadden,0.47999346
ARYOW7G1187FB373D0,Marc Broussard,0.4797654
ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,0.47940767
AREUMQS1187FB3AC8F,Fabri Fibra,0.47930896
ARS1OWB1187B99EEAD,New York Dolls,0.47930846
AR87K371187FB5AA8E,Uriah Heep,0.47920457
AR6W5MS1187FB3BF47,Little Feat,0.4791875
AR223M11187B9ADDD6,Marty Robbins,0.479046
ARUMGZN1187FB37125,Slick Rick,0.47898573
ARISHTQ1187FB3E6F0,Ben E. King,0.47878006
AR62MPO1187FB46421,David Benoit,0.4785322
AR2NJG71187FB5203E,Roni Size,0.47849074
ARRJ3UC1187FB579D7,Wyclef Jean,0.4778893
ARDL38Z1187B9B9FB5,Dntel,0.477799
AR6F6I21187FB5A3AA,Aesop Rock,0.47731087
ARSC6WR1187FB40B18,Peggy Lee,0.47726038
ARGCY1Y1187B9A4FA5,Gloriana,0.47722518
ARH9GD41187FB37E0F,Stephen Marley,0.47717884
AR0B3RS1187FB48F5D,Why?,0.4770198
ARGLOWN1187B99C06D,North Mississippi Allstars,0.47695506
AR93WAA1187FB42116,Cassie,0.47680336
ARDEC2A1187B9A460E,Chimaira,0.47676086
ARANOZN1187B9B373E,Descendents,0.47655937
ARGBR4I1187B99D073,Mudhoney,0.4763891
AR60KPK1187B9A7552,Beneath The Sky,0.47630018
ARYNSN31187FB4C573,Bizzy Bone,0.47625417
AR2SMD91187B9B0582,Mighty Mighty Bosstones,0.4759413
ARWJAQ81187FB46F73,Negura Bunget,0.4758343
AR2KSTE1187FB57A36,Petra,0.47539306
ARO3SS31187FB3729C,GWAR,0.47508565
ARJFBZ41187FB560A0,Black Sheep,0.4747958
AROKAO61187FB38105,Four Tet,0.47442818
ARKCAKL121318C569E,Erik Hassle,0.47424772
AR2BG0R1187FB398C3,Dax Riggs,0.47391844
ARMPRI31187FB4F7D9,Falling Into Place,0.4737005
ARCEOW71187B9A5A71,B.A.D.,0.47363666
AR6CLFP1187B9ACB94,Daniel Johnston,0.4736132
ARVY1W51187B9AF4F7,99 Posse,0.4735449
AR9DO2O1187FB53637,ColdWorld,0.4731331
ARNNQBT1187FB437C1,Belphegor,0.4730832
ARYECDK1187FB45587,The Stranglers,0.47274828
ARYGXKQ11E2835CE3B,Styles P,0.47267073
ARW5IF01187B9AEA98,Sugar Ray,0.47251296
ARBZHTB1187FB3A725,Aaron Watson,0.47249547
ARXI7WU1187FB4D75E,Tinariwen,0.47245178
ARO0QD41187FB3AB0A,Keb' Mo',0.47228122
AR5M4GN1187FB3F2F6,Bruce Robison,0.47186995
ARO5P0H1187FB5BAD7,Pepper,0.4714932
AR7U5BZ1187B997FFC,Keep Of Kalessin,0.47144186
AR69GPS1187B99E556,SUMO,0.47136205
AR3THYK1187B999F1F,Joa~o Gilberto,0.47122434
AR7W7Z01187B998286,Dark new Day,0.4711707
ARKLA8V1187B999B68,Baroness,0.4711267
ARZ8KO81187B9B1B7C,Burt Bacharach,0.47079024
ARP96FM1187B9AEA77,Semisonic,0.47070038
ARLNY561187B9B0355,Noisettes,0.4701078
AROU5DG1187FB562B5,Shapeshifters,0.46996513
AROIIF91187FB4F2D5,Dead Prez,0.4695139
ARD0FN11187B9B25CD,Bobby Darin,0.46942592
ARSL3N21187B98DFC5,Klaus Badelt,0.46934038
ARWHM281187FB3D381,Souls Of Mischief,0.46917742
AR0ILWV1187FB47CAA,Mouth Of The Architect,0.46905598
ARC70XM1187FB4D5B0,Free,0.4686046
ARA7YDA1187B9A5776,PATSY CLINE & WILLIE NELSON,0.46851146
ARX134S1187FB46E56,Scott Matthews,0.46846256
ARGPFYP1187B98F5CB,The Highwaymen,0.46824685
AR658OS1187FB5C451,Rachael Lampa,0.4681939
ARLF0QY1187FB4FDCC,Heavenly,0.46815875
AR91DZT1187FB4C599,Frost,0.46803254
ARFNJ4O1187B9A204B,Broadcast,0.46788552
ARWVOHH1187FB5974B,Screamin' Jay Hawkins,0.46756545
AR05OJD1187B9B99A6,Ol' Dirty Bastard,0.467552
ARWYVP51187B98C516,The Suicide Machines,0.46753845
ARED2DG1187FB3CB4D,Tantric,0.46713352
AR56P361187B9AC4DB,Gary Moore,0.46711066
AR4R1FL1187FB55C3B,Death From Above 1979,0.467071
ARP7AOI1187FB518B4,Mum,0.46699128
ARKMIBT11F4C8430D9,The Antlers,0.4669467
ARBJSO81187B9BA09B,Soda Stereo,0.466827
ARNE16X1187B9B2DEE,Jimmy Cliff,0.4667842
ARQXR6R1187FB46FD6,Soul Asylum,0.46677563
AR7TTS41187B9B42D3,R.L. Burnside,0.46662888
AR6JVK31187FB58FE3,Eiffel 65,0.4665098
AR4SOKG1187B98D2B0,Geier Sturzflug,0.46639442
ARLIIVS1187FB5583B,Philip Glass,0.4662243
ARJMUEZ1187B98D16E,Danger Danger,0.46615827
ARUZS6L1187FB50A56,Dave Weckl,0.466154
AR7G5I41187FB4CE6C,Adam Ant,0.46598342
ARXX9J41187B9AE4D0,King Diamond,0.46554267
ARQI60P1187FB464C9,The Ocean,0.46549967
ARW0Z9V1187B9A0699,Peter Tosh,0.46549237
ARRBTUP1242077FA75,Taking Dawn,0.465489
ARJ2PMY1187FB5B563,Burning Spear,0.46527022
ARQPT7O1187B9AAF4F,The Sensational Alex Harvey Band,0.46496642
ARHZCG01187B99E4DE,Stanley Clarke,0.46488625
ARP7DLV1187FB4EF07,Pretty Boy Floyd,0.46478647
ARNBIUE1187FB3E846,Benga,0.46473607
ARTL6FB1187FB4EAA7,Kool Keith,0.4645503
AR6HFW21187B9A8922,Kill The Client,0.464547
ARO3XZQ1187FB39351,Cobra Killer,0.46452546
ARJ45SE1187FB44AD1,Winds Of Plague,0.464518
ARJ9B1V1187FB4DD1F,Kid Sister,0.46451753
AR1NJEP1187FB4F4C1,22-20s,0.4642775
ARXB4TY1187FB5AA25,P.O.S,0.4641888
AR4BDNG1187FB44870,Robert Palmer,0.4641864
AREZMPH11F4C83B364,Everly Brothers,0.4641565
ART8F8O1187B9A538D,Herbert  von Karajan,0.46415243
AR1CD5Z1187B98F2C2,Pat Metheny,0.4639795
AR5O6W51187FB46984,SNAP!,0.4639001
AR7SF1N1187B9A91D1,John Berry,0.46377173
ARUHT3M1187FB44FB4,Delirious,0.46375778
ARQCFI11187FB5AE43,George Jones,0.46367386
ARP72BU1187B99CD9A,Who Made Who,0.4636081
AR0N8D61187FB3D0D6,Kaizers Orchestra,0.46339145
AR1RNCJ1187FB3D227,Fastball,0.46326402
ARH1LE01187B98D68D,John Debney,0.46319285
AR8SRQ31187FB4D477,Ten Years After,0.46311834
AR681HS1187FB5BBFE,David Lynch,0.46302506
ARKKPRW1187FB4D81E,Equilibrium,0.46301776
AR4R9BI1187FB44767,Earth,0.462964
ARQIAEA1187FB4F9F9,Laidback Luke & Diplo,0.4625375
ARAQOK81187B98DD4A,Ginny Owens,0.46251506
ARCEEC91187B9AC4FB,Alexander O'Neal,0.46236783
ARZVTZN1187FB579D4,Jim Reeves,0.4621901
AR4Y1BM1187B99A1EF,Deitrick Haddon,0.46167964
AR5MK521187B98E0B8,Heaven 17,0.46155846
AR286CH1187B9B8441,James Ingram,0.46152622
ARVJVFF1187B9B40D6,Al Di Meola,0.4615172
AR6LOPL1187FB4DABE,Mirah,0.46136937
ARA7EEC1187FB4C392,Snowgoons,0.46134585
AR71A931187B99CDD9,Harry Gregson-Williams,0.4612458
ARCSHVZ11C8A41575B,Take It Back!,0.46123067
ARXGASQ1187FB3C727,Camp Lo,0.4611948
AR2S4CA1187B99632E,FFH,0.46102652
AR0CDSK1187FB52ED6,Asleep At The Wheel,0.461023
ARH312K1187FB3F1D4,Beogradski Sindikat,0.46087512
ARV1RMI1187FB48F94,Arkona,0.46085316
ARW071B1187B9A603C,Unwritten Law,0.46084347
ARGS67J1187FB3FC1A,Righteous Brothers,0.46070367
ARRI5MR1187FB47CAB,Esperanza Spalding / Leo Genovese,0.46051574
ARML7XL1187FB43F59,Boondox,0.46045655
ARN2C4X1187B9B363C,Jack Off Jill,0.46038958
ARORFTD1187B99F7D4,Epitaph,0.45980942
ARTDBI61187FB48479,Marvin Sapp,0.45966545
ARXP7MQ1187FB3AC5F,Dave Hollister,0.45966047
ARIKE5O1187B997E73,Mississippi Mass Choir,0.4596296
AR6AGJV1187FB504BA,Kitaro,0.45938742
ARTWPGO1187FB52DC3,Elephant Man,0.4591892
ARRNO111187B9B3FC9,Galactic,0.45898727
ARJS05S1187FB58F3A,Spongebob Squarepants,0.45893556
AR3THYK1187B999F1F,João Gilberto,0.4587382
ARS4KT21187B9B9438,Fito Paez,0.45873082
ARRPOUR1187FB4D0BA,Aceyalone,0.45869702
AR3VSHF1187B9B3002,Flame,0.4586464
AR1ZYLH1187B98C159,Naughty By Nature,0.4585954
ARE0OLY1187B9AD19F,Jesse Malin,0.45859203
ARODHHS1187FB37814,The Last Vegas,0.45854917
ARV4KO21187FB38008,Del Tha Funkee Homosapien,0.45843947
AR41O131187FB51448,DJ Isaac,0.4584005
ARPYIBX1187B9B113E,At The Gates,0.45837772
ARV8LAR1187FB3DE2A,Dokken,0.4582932
AREMOC71187B996C2F,Lara Fabian,0.45821074
ARUVPCM1187FB5C281,Attack Attack,0.458013
ARNNQ9E1187FB3C82F,Black History,0.45798168
AR0CANF1187B9AF35F,Dilated Peoples,0.45784116
ARHIC3Q1187B9B1773,Big Daddy Kane,0.45771152
AROJAG11187B9B71A3,The Chap,0.45761117
AR0VZWC1187B99BA57,The Berzerker,0.45755392
ARE9J081187FB4E58B,Antimatter,0.45713568
ARCLLH11187FB48DE0,Jimmie Vaughan,0.45707294
ART9G811187FB55F2D,Monika_ Wolfgang,0.45707265
ARHONG11187FB3B120,L.A. Guns,0.45694056
AROLDZG1187FB50AFB,Melvins,0.45686543
ARHUQUF1187FB382E6,T-Bone,0.4566314
ARUABHE1187B9AF820,Way Out West,0.4561824
AR392MV1187FB3C3FE,Connie Francis,0.45608053
ARLNMEP11C8A41519E,Rockabye Baby!,0.45602974
AR79TB51187B9966E2,Martin Lawrence,0.4559932
ARS6I1U1187FB468F9,Juliette & The Licks,0.45591563
ARMDBW21187FB37126,Grandmaster Flash,0.45588467
ARBD4QW1187FB42153,Scar Symmetry,0.45582598
ARIGKCK1187FB5C99B,Lightnin' Hopkins,0.45577484
ARPXDY61187B9AD0A8,Clannad,0.45576903
ARUAOGE1187B9B3D50,Fake Problems,0.45566478
ARK8OHG1187B99016A,Shadows Fall,0.4555588
AR3Q86S1187B9ADDCF,Deep Forest,0.45553774
AR3YJMO11C8A42B348,Vulture Industries,0.4554953
ART59BB1187FB3866E,Through the Eyes of the Dead,0.45547843
AROL78E1187B9B98A1,Stellar Kart,0.4549621
ARVXKTV1187FB44139,Arsonists Get All The Girls,0.4549574
ARNNHLN1187FB42912,Yahir,0.45484838
ARKZ68G1187B98B189,Gang Of Four,0.45478538
ARWD82K1187B98CFF2,Cracker,0.45471483
AR3QRJ91187B98E4C2,Jacques Dutronc,0.45454192
ARUZLXZ1187FB3BFF1,Wednesday 13,0.45436263
AR7G5I41187FB4CE6C,Adam Ant,0.45423114
ARORSBT11F50C4A96B,De La Ghetto,0.4541597
AR1JEKW1187B9ADFBE,Dead Hearts,0.45407546
AR6Z6BW1187B9ACD69,The Ruby Suns,0.4538815
ARSQDUN1187B98D7D7,EPMD,0.45385027
ARBE9XH1187B9A826F,Joell Ortiz,0.45381495
ARO41T51187FB397AB,Sasha,0.4537316
AR20BO61187B9B880E,Patton Oswalt,0.45362973
ARC6UC81187B989062,Hem,0.45343578
AROATPL1187FB48E12,UFO,0.4533991
ARYPWUK1187B98ACED,Emperor,0.4533912
ARI4SKQ1187B9B43B0,Beres Hammond,0.4533712
ARPHH7Z1187B9B6A3A,Franco,0.45327023
AR1GNFR1187B9AD1FD,The Exies,0.45325992
ARTC5DW1187B98FCF2,Plump DJs,0.4530008
ART97VL1187FB3BD45,F-4,0.45297202
AR5U94U1187FB5CDCF,John Hammond,0.45281783
AR1Y2PT1187FB5B9CE,John Wesley,0.4527895
ARAOBIZ1187FB38574,Johnny Winter,0.4523805
ARBUOMY1187B99F2EB,Messy Marv,0.45222995
AR5OH1V1187FB574C3,Kenny Wayne Shepherd,0.45210227
AR57Z841187B9B7D7D,Gregory Isaacs,0.4519986
ARXVADV12086C1203C,Gary Go,0.4519577
ARA65601187FB57BD9,Roger Sanchez,0.4516484
ARVIT0V1187B9A7CDE,Danny Diablo feat. Puerto Rican Myke,0.45157897
ARHN74X1187B98D79F,Bill Engvall,0.45157078
ARB336A1187B9A4583,MC5,0.45146605
ARMSL551187FB3F4B0,Dark Distant Spaces,0.45121923
ARFFDZU1187FB50682,Alan Silvestri,0.45077989
ART09111187FB5BF48,Ty Herndon,0.4507752
ARPNDSH1187B9B942F,Sui Generis,0.45054668
ARTKTYG1187FB40CBA,Dendemann,0.45043212
ARPKLK81187FB42AC9,Death SS,0.45012906
ARUIO0J1187FB3D7D7,Mest,0.4500934
ARNMBZY122BCFCCEB8,Modern Day Escape,0.44988698
AR4W5GR1187FB51F7E,Alacranes Musical,0.44986925
AR6GR981187FB5184A,Sheek Louch,0.44981816
AR8JSAL1187FB3CE7E,JDS,0.4497463
AR040M31187B98CA41,The Bug Featuring Ricky Ranking,0.449694
ARJFOC01187FB413A5,Delbert McClinton,0.4496687
ARLLRL61187B9B6698,The Sonics,0.4496081
ARKQ9JM1187FB57521,A.Z.,0.44960266
ARWDEEB11E2835E73C,Faces,0.4494935
AR2P71H1187B9B8C00,Kool Savas,0.44942364
AR7GOK91187FB455F5,Jean-Jacques Goldman,0.4492539
AR0N0DX1187FB41327,Talvin Singh,0.44913995
AROCBZZ11E2835D652,Small Facers,0.44905257
AREVWGE1187B9B890A,Bitter End,0.44900244
ARS03Y81187B98E6ED,Life In Your Way,0.44884035
AR0B1CH1187FB3A824,Charlie Rich,0.44866908
AR4TLW81187B99683D,Martin Sexton,0.44865346
AR7H21J1187FB40C69,Mr. Lif,0.4486291
AR1DLF21187FB3CBF0,4Him,0.4485938
ARW2DG51187B9A170F,Ana Popovic,0.44845977
ARVD9M11187FB49291,Headhunter,0.44845283
AR1ZZOW1187B99BA84,Bumblefoot,0.44840744
AR3O0021187B999BC8,Radio Moscow,0.44823322
AR7DFJP1187B992F13,Juana Molina,0.4482236
ARD842G1187B997376,Blue Rodeo,0.4479355
ARTIGQM1187B98D1F2,Ray Davies,0.44785896
ARDCQM61187B9951CE,Sneaky Sound System,0.44738603
ARHKQGH1187B9A4DB4,In Extremo,0.44733047
ARR5CEB1187FB5A3FF,Restless Heart,0.44720665
ARXUCPO12086C169A4,Frank Sinatra,0.44719973
ARI0PUX1187FB3F215,Maxi Priest,0.44689074
ARDW5AW1187FB55708,Shawn Colvin,0.44673297
AR60C3O1187FB46737,Kurtis Blow,0.44645923
ARW0YFZ1187FB442DB,Markscheider Kunst,0.44644567
ARNSAEA1187B9B908E,Cheo Feliciano,0.44636387
ARC7C241187B990F7F,Becoming The Archetype,0.44617054
ARHGGCU125FEF328D7,Nick Jonas & The Administration,0.44608393
ARRH2S81187B98C8AA,Bongzilla,0.4460716
AR1K7TQ11C8A414EC8,The Knux,0.44596943
ARC0NOU1187B9AA91D,Nick Colionne,0.44543812
ARSZIBW1187B994053,James Newton Howard,0.4453219
AR2O84Q1187FB5BF74,Salt The Wound,0.4452222
ARXGASQ1187FB3C727,Camp Lo,0.44521698
ARM1UIH1187B9A5DE8,Marco Polo,0.4450948
ARCDXI51187FB57A2E,Goose,0.44493517
ARNDTKL1187B9AF57C,Jellyfish,0.44490418
AR1072G1187FB5B351,Tabu feat. Mitzib,0.44490016
ARAI2ZO1187B9A0536,Catupecu Machu,0.44408682
ARUE3AK1187B9AC923,Neil Sedaka,0.4440257
ARMJMBJ1187B98C46F,Bug Mafia,0.44400945
ARMIMHT1187B98F038,Teena Marie,0.44393018
AR3TG3X1187FB4D577,Atari Teenage Riot,0.44387567
ARVADXJ1187B99AA96,Ace Frehley,0.44384775
AR7TTCH1187FB3F95C,Leon Russel,0.4437089
AR3KGPQ1187FB53C84,L7,0.44354755
ARGY9EQ1187B996E1A,Norther,0.4434922
ARY02GH1187B99B223,Zombie Girl,0.44339558
ARPEPWU1187FB55B71,Limbonic Art,0.4433349
AR8SBT41187B9A5FD9,Total Fucking Destruction,0.44324532
AR4SOKG1187B98D2B0,Geier Sturzflug,0.44311687
ARYG6CU1187FB3852B,Milk Inc.,0.44309893
ARS94L01187B9AD297,Nerf Herder,0.44299287
ARNDFTA125FEF32B22,Noemi,0.4429682
ARVOWE21187FB3AE3C,Enuff Z 'Nuff,0.44294894
ARORFTD1187B99F7D4,Epitaph,0.44292453
ARV1JVD1187B9AD195,Loudon Wainwright III,0.44276583
ARRXADQ1187FB38F22,The Business,0.44273928
AR2EO6H1187B9A3B92,Brian Tyler,0.44269672
AR3VSHF1187B9B3002,Flame,0.44267002
ARSTH0R1187B98951E,Moonsorrow,0.44265202
AR2ZLBH1187FB592FE,iTAL tEK,0.44243607
AR9Q3LP1187FB3D647,Soilent Green,0.44234845
AR813LR1187FB3F83A,Goldfish,0.44228578
ARCDQRB11F4C844880,G.G. Allin,0.44215378
ARGGD1E1187B98FA9D,Parachute Band,0.44194517
ARGYHUI1187B9AC2A5,Hanoi Rocks,0.44164342
AREN1A11187FB527EF,Roger Creager,0.44155908
AR41ESB1187FB360B1,Gloria,0.4415379
ARQZRQ11187B9A5918,John P. Kee,0.4413716
AR7WGYZ1187FB3CAB0,Wang Chung,0.44136658
ARTXEZN1187B9B8190,Agnes,0.44135556
ARA6H4G1187B99E2F2,Refractory,0.44129807
ARDHKHJ1187B9B62EA,Steve Wilson,0.44116983
ARALUUG1187FB58696,Irma Thomas,0.44110635
ARS755J1187B9920C6,Assassin,0.44099155
ARSEC9Q1187B98912D,Colin James,0.44086754
ARP07GD1187B9B9DA4,Los Originales De San Juan,0.440835
ARZ2DHF1187FB3F2EA,Krayzie Bone,0.4407151
AR85QTQ11A348EFF96,Brooke White,0.4406701
AR60ZZX1187FB52E29,Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,0.44062412
ARNLHY61187FB3A0C0,Organ Donors,0.4406098
ARE8LV21187B9B9A6B,Shifty,0.44057754
AR3DWG81187B98E3FA,Papoose,0.44040745
AR7NNKG1187FB4AA1C,Charly Garcia,0.44037074
ART5IUL1187B9B0143,Lady Saw,0.44032606
ARJ5BEW1187FB52361,Inoki,0.4401347
ARV1ALU1187FB4D77E,Eighteen Visions,0.440108
AR4W2E01187FB416AC,Saga,0.4400565
ARGNZOL1187FB5CE7C,Fernando Ortega,0.43988052
ARU3YYC1187FB43FEE,Luis Alberto Spinetta,0.43984386
AR02YGA1187B9B8AC4,Bersuit Vergarabat,0.43983635
ARAPI451187B9B6E6F,John Michael Talbot,0.4394881
ARVVLMQ11F4C8456E4,Knack,0.439439
AR898OD1187B9A14BB,Olga Tañon,0.43929204
ARSYKGV1187B9A49CD,Nicole C. Mullen,0.43902457
AR71WYS1187FB5170D,Kelly Sweet,0.43894264
AR1IY711187B9B0B50,The Katinas,0.43893284
ARKQ6QN1187B9B016D,Photek,0.43877918
AR32JLC1187B9946AF,X-Raided,0.43870166
ARBXIDR1187B9AB77E,Avril,0.43823442
ARTBFV61187FB3C250,Johnny Horton,0.43816823
ARKE7ZQ1187FB504BB,Blackfoot,0.43798774
ARVEJ9M1187FB4DC44,Les Ogres De Barback,0.43796474
ARX9L381187B9B7265,Mac McAnally,0.437866
ARDM8331187B9B947E,Pedro Aznar,0.43773597
ARLFUII1187FB565E5,I Wayne,0.4377113
ARLCQZN1187B9AF634,Patti Smith Group,0.437591
ARZWPWP1241B9CA793,Henry Mancini,0.4374948
AR9JNFU1187B9B9868,Gal Costa,0.43746457
ARHXIOW1187FB3AF67,The Mad Capsule Markets,0.43705055
ARDK87R1187B98D51C,Flamin' Groovies,0.4370019
ARYC4561187FB4F2B1,Chatelaine,0.43697193
ARVWNTI1269FB34C59,SOJA,0.43678296
ARC0MTS1187FB44C21,Toots Thielemans,0.43676907
AR05NQH1187B98E875,Kassav',0.43673024
ARIMJFK1187FB4ED3E,Luke Vibert,0.43659934
ARKT5SH1187B9AE8BF,Murderdolls,0.43632993
ARDDTL91187B9974A7,Warren Barfield,0.43622056
AR1SYBE1187B992798,Kira,0.43604478
ARR46IW1187FB51C2E,Nicholas Hooper,0.43580827
AR68V7Z1187B9A2FCA,Polkaholix,0.43579865
ARS0W831187B9AF0B7,Maximilian Hecker,0.43568408
ARFKY7F1187FB3EFAC,Axe,0.43563375
AR93D4D1187FB3ACAD,J.J. Cale,0.4354689
ARC3EZO1187B9B9314,Angels,0.43546382
AR7ISJJ1187B9B2CD6,Danny Barnes,0.43525234
ARZ8MVL1187FB41D17,Shout Out Out Out Out,0.43523923
AR6GJDZ1187B991E46,KALIMBA,0.43514466
ARXALW01187FB4B466,Sylvia Tosun,0.4351272
ARMH10M1187FB4184F,Firehouse,0.43497604
ARXGWNG1187FB503A5,Ini Kamoze,0.43493015
AR19QNR1187B9A13C5,Cassidy,0.43492264
AR2XRFQ1187FB417FE,Julie Zenatti,0.4348596
ART70HI1187B9A37BC,Elmore James,0.43482342
ARDK6QW1187B9B8D85,U.K. Subs,0.4346969
AR7QAHN1187FB35F8B,Groucho Marx,0.43462184
ARVVZ6Q1187B98D05D,Olive,0.4346074
AR8UA7Z1187B9AD9C9,Étienne Daho,0.43454194
ARCDRLI1187FB54D58,ZTrip,0.43447655
ARFH6FT1187FB5BF47,T.O.K.,0.43434632
AR7PPJV1187FB397CC,James Taylor Quartet,0.43425333
AR3DCWS1187B9A4416,Cartel,0.43425006
ARXLMH011C8A415658,brokeNCYDE,0.43413714
ARYXJ5A1187B9B9E56,Kiril Valeri,0.4339455
AROZNFA1187B99D367,John Digweed,0.43392783
ARIPNAN1187FB3E577,Pete Philly & Perquisite,0.43378067
ARATR0U1187B9B76D0,Dead To Me,0.43372878
ARIVGZI11E2835F1FC,Bülent Ceylan,0.43372104
ARTZXUP11F4C83D65B,Crystals,0.433357
AR9OTFC11C8A415220,D.A.D.,0.43324384
AROIL3N1187B9A9975,BLEED THE SKY,0.43317303
ARHP6H31187FB4A38C,DJ Icey,0.4331266
ARD5SR21187B9B5F4A,Irwin Goodman,0.43280432
ARGDSO91187B9AAB35,Patrick Bruel,0.43275434
ARF9EI11187B9AB66C,9th Wonder,0.43269524
AR326OO1187FB444FF,Rebecca Lynn Howard,0.43266934
ARNBV1X1187B996249,Alex,0.43217257
ARGJ0911187FB4613F,Maria Muldaur,0.43205407
ARVJ0JK1187B98C9C0,The Brooklyn Tabernacle Choir,0.43201193
ARZL6CE1187FB3F264,Mindy McCready,0.43188277
AR1HK7B1187FB55747,TYR,0.4318542
